"","assist","clean_sheet","goal","matchday","game_play_duration","total_earnings","away_shortname","away_squad","away_score","time_on_pitch","status","id","match_id","period","finished","home_shortname","home_squad","home_score","in_for_player","sub_in_timestamp","sub_in_minutes","sub_out_minutes","sub_out_timestamp","shot_on_target","attempt_saved","successful_pass","ID","Name","Club","Pos","init_Value"
"1",NA,0,NA,1,90,120000,"KOE",1562,3,90,"starter",64467,8764,"FullTime","True","VFB",1578,1,NA,1439739000,0,NA,NA,NA,6,31,64467,"T. Horn","KOE","GOA",8
"2",NA,0,NA,2,90,86000,"WOB",1579,1,90,"starter",64467,8775,"FullTime","True","KOE",1562,1,NA,1440250200,0,NA,NA,NA,5,31,64467,"T. Horn","KOE","GOA",8
"3",NA,0,NA,3,90,115000,"HSV",1572,1,90,"starter",64467,8766,"FullTime","True","KOE",1562,2,NA,1440855000,0,NA,NA,NA,6,38,64467,"T. Horn","KOE","GOA",8
"4",NA,0,NA,4,90,-3500,"KOE",1562,2,90,"starter",64467,8795,"FullTime","True","SGE",1567,6,NA,1442075400,0,NA,NA,NA,5,21,64467,"T. Horn","KOE","GOA",8
"5",NA,1,NA,5,90,158000,"BMG",1566,0,90,"starter",64467,8784,"FullTime","True","KOE",1562,1,NA,1442669400,0,NA,NA,NA,2,20,64467,"T. Horn","KOE","GOA",8
"6",NA,0,NA,6,90,43500,"KOE",1562,0,90,"starter",64467,8817,"FullTime","True","BSC",1574,2,NA,1442944800,0,NA,NA,NA,6,25,64467,"T. Horn","KOE","GOA",8
"7",NA,0,NA,7,90,56500,"FCI",1570,1,90,"starter",64467,8802,"FullTime","True","KOE",1562,1,NA,1443205800,0,NA,NA,NA,4,26,64467,"T. Horn","KOE","GOA",8
"8",NA,1,NA,8,90,195000,"KOE",1562,3,90,"starter",64467,8833,"FullTime","True","S04",1571,0,NA,1443965400,0,NA,NA,NA,7,14,64467,"T. Horn","KOE","GOA",8
"9",NA,0,NA,9,90,9000,"H96",1573,1,90,"starter",64467,8820,"FullTime","True","KOE",1562,0,NA,1445175000,0,NA,NA,NA,3,15,64467,"T. Horn","KOE","GOA",8
"10",NA,0,NA,10,90,35000,"KOE",1562,0,90,"starter",64467,8851,"FullTime","True","FCB",1569,4,NA,1445693400,0,NA,NA,NA,9,25,64467,"T. Horn","KOE","GOA",8
"11",NA,1,NA,11,90,128500,"TSG",1577,0,90,"starter",64467,8838,"FullTime","True","KOE",1562,0,NA,1446301800,0,NA,NA,NA,4,35,64467,"T. Horn","KOE","GOA",8
"12",NA,0,NA,12,90,82500,"KOE",1562,2,90,"starter",64467,8866,"FullTime","True","B04",1564,1,NA,1446906600,0,NA,NA,NA,3,23,64467,"T. Horn","KOE","GOA",8
"13",NA,1,NA,13,90,116500,"M05",1563,0,90,"starter",64467,8856,"FullTime","True","KOE",1562,0,NA,1448116200,0,NA,NA,NA,1,26,64467,"T. Horn","KOE","GOA",8
"14",NA,1,NA,14,90,126000,"KOE",1562,0,90,"starter",64467,8889,"FullTime","True","D98",1575,0,NA,1448652600,0,NA,NA,NA,1,23,64467,"T. Horn","KOE","GOA",8
"15",NA,0,NA,15,90,57000,"FCA",1568,1,90,"starter",64467,8874,"FullTime","True","KOE",1562,0,NA,1449325800,0,NA,NA,NA,7,31,64467,"T. Horn","KOE","GOA",8
"16",NA,0,NA,16,90,131000,"KOE",1562,1,90,"starter",64467,8907,"FullTime","True","BRE",1576,1,NA,1449930600,0,NA,NA,NA,5,23,64467,"T. Horn","KOE","GOA",8
"17",NA,0,NA,17,90,66000,"BVB",1565,1,90,"starter",64467,8892,"FullTime","True","KOE",1562,2,NA,1450535400,0,NA,NA,NA,2,15,64467,"T. Horn","KOE","GOA",8
"18",NA,0,NA,1,0,0,"KOE",1562,3,0,"bench",64468,8764,"FullTime","True","VFB",1578,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"19",NA,0,NA,2,0,0,"WOB",1579,1,0,"bench",64468,8775,"FullTime","True","KOE",1562,1,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"20",NA,0,NA,3,0,0,"HSV",1572,1,0,"bench",64468,8766,"FullTime","True","KOE",1562,2,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
